"Team","Pos 1","Pos 2","Pos 3","Pos 4","Pos 5","Pos 6","Pos 7","Pos 8","Pos 9","Pos 10","Pos 11","Pos 12","Pos 13","Pos 14"
"Drøbak-Frogn",0,0,0,1977777,988848,806031,624672,324324,58077,3240,0,0,0,0
"Follo",0,0,0,123120,387342,592110,774198,1119744,1081917,704538,0,0,0,0
"Herd",0,0,0,220158,524475,829926,871722,897075,964143,475470,0,0,0,0
"Hødd 2",0,0,0,0,0,0,0,0,0,0,0,0,0,4782969
"KFUM 2",0,0,0,0,0,0,0,0,0,0,1351566,3083670,347733,0
"Kristiansund 2",0,0,0,0,0,0,0,0,0,0,78732,373977,4330260,0
"Lokomotiv Oslo",0,0,0,1135296,1049760,943569,893025,578826,168885,13608,0,0,0,0
"Molde 2",0,4782969,0,0,0,0,0,0,0,0,0,0,0,0
"Oppsal",4782969,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ready",0,0,0,3240,61317,190350,231498,578745,1134972,2405700,177147,0,0,0
"Rilindja",0,0,0,0,0,0,0,0,19683,196830,3136158,1325322,104976,0
"Spjelkavik",0,0,0,1253394,1438047,900045,687096,389556,106461,8370,0,0,0,0
"Træff",0,0,4782969,0,0,0,0,0,0,0,0,0,0,0
"Ullern",0,0,0,69984,333180,520938,700758,894699,1248831,975213,39366,0,0,0
