Round,Date,HomeTeam,AwayTeam,Result,Probability
25,20.10.2018,Træff,Hødd 2,H,0.39837196
25,20.10.2018,Drøbak-Frogn,Rilindja,H,0.3270298
25,20.10.2018,Spjelkavik,Molde 2,A,0.33584616
25,20.10.2018,Oppsal,Follo,H,0.39684117
25,20.10.2018,Ullern,Herd,H,0.23302808
25,20.10.2018,Kristiansund 2,Ready,A,0.27698702
25,20.10.2018,KFUM 2,Lokomotiv Oslo,A, 0.3140256
26,27.10.2018,Ready,Oppsal,A,0.3483183
26,27.10.2018,Herd,Spjelkavik,A,0.21786077
26,27.10.2018,Rilindja,KFUM 2,H,0.23302808
26,27.10.2018,Follo,Drøbak-Frogn,D,0.21917714
26,27.10.2018,Lokomotiv Oslo,Ullern,H,0.24898374
26,27.10.2018,Molde 2,Træff,H,0.29242346
26,27.10.2018,Hødd 2,Kristiansund 2,A,0.2668897
