Club,PlayedHome,WonHome,DrawHome,LostHome,PointsHome,PlayedAway,WonAway,DrawAway,LostAway,PointsAway,PlayedTotal,WonTotal,DrawTotal,LostTotal,PointsTotal
Oppsal,13,11,1,1,34,13,10,3,0,13,26,21,4,1,67
Molde 2,13,12,0,1,36,13,7,2,4,13,26,19,2,5,59
Træff,13,8,4,1,28,13,6,4,3,13,26,14,8,4,50
Lokomotiv Oslo,13,8,2,3,26,13,5,1,7,13,26,13,3,10,42
Drøbak-Frogn,13,9,0,4,27,13,3,2,8,13,26,12,2,12,38
Ullern,13,7,2,4,23,13,4,1,8,13,26,11,3,12,36
Spjelkavik,13,7,3,3,24,13,3,2,8,13,26,10,5,11,35
Follo,13,6,5,2,23,13,2,4,7,13,26,8,9,9,33
Herd,13,8,2,3,26,13,1,3,9,13,26,9,5,12,32
Ready,13,4,4,5,16,13,5,1,7,13,26,9,5,12,32
Rilindja,13,5,2,6,17,13,3,2,8,13,26,8,4,14,28
Kristiansund 2,13,4,4,5,16,13,2,2,9,13,26,6,6,14,24
KFUM 2,13,6,2,5,20,13,0,3,10,13,26,6,5,15,23
Hødd 2,13,3,2,8,11,13,0,3,10,13,26,3,5,18,14
